pseudoID,submitdate,lastpage,startlanguage,seed,startdate,datestamp,refurl,timePoint,Einv,studyGroup,AppName,Bew1,Bew2,Bew3,Bew4,Bew5,Bew6,STG,Habit[Habit1],Habit[Habit2],Habit[Habit3],Habit[Habit4],Intention1[Int1],Intention2[Int2],Intention3[Int3],Att1[Att1],Att2[Att2],Att3[Att3],Att4[Att4],Att5[Att5],Norm1[Norm1],Norm2[Norm2],Norm3[Norm3],ACheck1[ACheck1],Norm4[Norm4],Norm5[Norm5],Norm6[Norm6],Control1[Con1],Control2[Con2],Control3[Con3],Control4[Con4],KIM[IntVer1],KIM[IntVer2],KIM[IntVer3],KIM[wKomp1],KIM[wKomp2],KIM[wKomp3],KIM[wWahl1],KIM[wWahl2],KIM[wWahl3],KIM[DrAn1],KIM[DrAn2],KIM[DrAn3],KIM[ACheck2],ZiMo[discat1],ZiMo[discat2],ZiMo[discat3],ZiMo[discat4],ZiMo[discat5],ZiMo[enjoy1],ZiMo[enjoy2],ZiMo[enjoy3],ZiMo[fit1],ZiMo[fit2],ZiMo[fit3],ZiMo[heal1],ZiMo[heal2],ZiMo[heal3],ZiMo[comper1],ZiMo[comper2],ZiMo[comper3],ZiMo[aes1],ZiMo[aes2],ZiMo[con1],ZiMo[con2],ZiMo[con3],ZiMo[con4],ZiMo[con5],ZiMo[figapp1],ZiMo[figapp2],ZiMo[figapp3],ZiMo[risk1],ZiMo[risk2],ZiMo[risk3],ZiMo[ACheck3],MotivComp[MotivComp1],MotivComp[MotivComp2],MotivComp[MotivComp3],MotivComp[MotivComp4],VolSelf[VolSelf1],VolSelf[VolSelf2],VolSelf[VolSelf3],ActionPlan[ActionPlan1],ActionPlan[ActionPlan2],ActionPlan[ActionPlan3],ActionPlan[ActionPlan4],Geb,Ges,Ges[other],Ethn[Eu],Ethn[Eucomment],Ethn[As],Ethn[Ascomment],Ethn[Am],Ethn[Amcomment],Ethn[Af],Ethn[Afcomment],Ethn[AuNe],Ethn[AuNecomment],Ethn[LaAa],Ethn[LaAacomment],Ethn[Noe],Ethn[Noecomment],Ethn[In],Ethn[Incomment],Ethn[other],Ethn[othercomment],Wohn,Wohn[other],Edu,Prof,Prof[other],Einko,Einko[other],Branche,AlltagAbl[AufWa],AlltagAbl[StaProf], ,AlltagAbl[BettZeit],AlltagAbl[PausDau],AlltagAbl[FreiDau],PhoneSystem[other],AppUseGeneral,QualAppGeneral,AppUseStudy,AppUseDays,TransferAppDetail,TAM[WA1],TAM[WA2],TAM[WA3],TAM[WN1],TAM[WN2],TAM[WN3],TAM[WN4],TAM[WB1],TAM[WB2],TAM[WB3],TAM[WB4],TAM[WF1],TAM[WF2],TAM[WF3],TAM[WF4],TAM[WV1],TAM[WV2],TAM[WV3],TAM[WV4],TAM[NI1],TAM[NI2],TAM[NI3],TAM[NI4],QualPos,QualNeg,otherAppUse,QualOthApp,SystemLink,eMailValidIG,eMailValidKG,interviewtime,groupTime19488,groupTime19449,groupTime19489,groupTime19452,groupTime19451,groupTime19453,groupTime19454,groupTime19455,groupTime19456,groupTime19458,groupTime19461,groupTime19862,groupTime19863,groupTime19864,groupTime19450,groupTime19487,groupTime19486,groupTime19491,groupTime19462
AJI0Y6DP,2026-03-19 10:25:53,12,de,262336,2026-03-19 10:01:00,2026-03-19 10:25:53,,T1,Ja,24,,0 Tage,,1 Tag,22.0,5 Tage,32.0,"Ja, aber ich bin noch nicht seit mehr als 6 Monaten regelmässig körperlich aktiv.",3.0,1.0,2.0,3.0,,5.0,3.0,6.0,5.0,6.0,5.0,5.0,3.0,4.0,4.0,,5.0,4.0,4.0,6.0,6.0,7.0,5.0,3 - stimmt ziemlich,3 - stimmt ziemlich,2 - stimmt teils-teils,2 - stimmt teils-teils,2 - stimmt teils-teils,2 - stimmt teils-teils,3 - stimmt ziemlich,3 - stimmt ziemlich,3 - stimmt ziemlich,1 - stimmt wenig,1 - stimmt wenig,2 - stimmt teils-teils,,4.0,5.0,5.0,4.0,4,3,3,3,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3,3,2,,4.0,4.0,5.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1985,Weiblich,,,,,,,,Ja,,,,,,,,,,,,Schweiz,,Master,Studierend,,> 4500 CHF,,IT,05:00,10:00,17:00,24:45,69,46,,Nein,,Nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nein,,SYS-005001,,Ja,1493,,,,,,,,,,,,,,,,,,,
BHSAHXTH,2026-03-19 10:25:53,12,de,262336,2026-03-19 10:01:00,2026-03-19 10:25:53,,T1,Ja,24,,0 Tage,,1 Tag,22.0,5 Tage,32.0,"Ja, aber ich bin noch nicht seit mehr als 6 Monaten regelmässig körperlich aktiv.",3.0,1.0,2.0,3.0,,5.0,3.0,6.0,5.0,6.0,5.0,5.0,3.0,4.0,4.0,,5.0,4.0,4.0,6.0,6.0,7.0,5.0,3 - stimmt ziemlich,3 - stimmt ziemlich,2 - stimmt teils-teils,2 - stimmt teils-teils,2 - stimmt teils-teils,2 - stimmt teils-teils,3 - stimmt ziemlich,3 - stimmt ziemlich,3 - stimmt ziemlich,1 - stimmt wenig,1 - stimmt wenig,2 - stimmt teils-teils,,4.0,5.0,5.0,4.0,4,3,3,3,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3,3,2,,4.0,4.0,5.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1985,Weiblich,,,,,,,,Ja,,,,,,,,,,,,Schweiz,,Master,Studierend,,> 4500 CHF,,IT,05:00,10:00,17:00,24:45,69,46,,Nein,,Nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nein,,SYS-005001,,Ja,1493,,,,,,,,,,,,,,,,,,,
V3A3ZMF8,2026-03-19 10:25:53,12,de,262336,2026-03-19 10:01:00,2026-03-19 10:25:53,,T1,Ja,24,,0 Tage,,1 Tag,22.0,5 Tage,32.0,"Ja, aber ich bin noch nicht seit mehr als 6 Monaten regelmässig körperlich aktiv.",3.0,1.0,2.0,3.0,,5.0,3.0,6.0,5.0,6.0,5.0,5.0,3.0,4.0,4.0,,5.0,4.0,4.0,6.0,6.0,7.0,5.0,3 - stimmt ziemlich,3 - stimmt ziemlich,2 - stimmt teils-teils,2 - stimmt teils-teils,2 - stimmt teils-teils,2 - stimmt teils-teils,3 - stimmt ziemlich,3 - stimmt ziemlich,3 - stimmt ziemlich,1 - stimmt wenig,1 - stimmt wenig,2 - stimmt teils-teils,,4.0,5.0,5.0,4.0,4,3,3,3,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3,3,2,,4.0,4.0,5.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1985,Weiblich,,,,,,,,Ja,,,,,,,,,,,,Schweiz,,Master,Studierend,,> 4500 CHF,,IT,05:00,10:00,17:00,24:45,69,46,,Nein,,Nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nein,,SYS-005001,,Ja,1493,,,,,,,,,,,,,,,,,,,
AJI0Y6DP,2026-03-19 13:41:53,15,de,471506,2026-03-19 13:21:00,2026-03-19 13:41:53,,T2,Ja,24,,0 Tage,,1 Tag,27.0,6 Tage,35.0,"Ja, und ich bin seit mehr als 6 Monaten regelmässig körperlich aktiv.",3.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,4.0,5.0,,2.0,4.0,2.0,7.0,7.0,7.0,7.0,3 - stimmt ziemlich,3 - stimmt ziemlich,3 - stimmt ziemlich,2 - stimmt teils-teils,3 - stimmt ziemlich,3 - stimmt ziemlich,3 - stimmt ziemlich,2 - stimmt teils-teils,3 - stimmt ziemlich,2 - stimmt teils-teils,1 - stimmt wenig,1 - stimmt wenig,,5.0,5.0,5.0,5.0,4,3,4,3,3.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3,4,3,,4.0,2.0,4.0,4.0,4.0,4.0,,1.0,1.0,1.0,1.0,1985,Weiblich,,Ja,,,,,,,,,,,,,,,,,,Deutschland,,Bachelor,Angestellt,,> 4500 CHF,,Detailhandel,07:15,10:00,18:15,21:30,39,337,,Nein,,Nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nein,,SYS-005201,,Ja,1253,,,,,,,,,,,,,,,,,,,
BHSAHXTH,2026-03-19 13:41:53,15,de,471506,2026-03-19 13:21:00,2026-03-19 13:41:53,,T2,Ja,24,,0 Tage,,1 Tag,27.0,6 Tage,35.0,"Ja, und ich bin seit mehr als 6 Monaten regelmässig körperlich aktiv.",3.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,4.0,5.0,,2.0,4.0,2.0,7.0,7.0,7.0,7.0,3 - stimmt ziemlich,3 - stimmt ziemlich,3 - stimmt ziemlich,2 - stimmt teils-teils,3 - stimmt ziemlich,3 - stimmt ziemlich,3 - stimmt ziemlich,2 - stimmt teils-teils,3 - stimmt ziemlich,2 - stimmt teils-teils,1 - stimmt wenig,1 - stimmt wenig,,5.0,5.0,5.0,5.0,4,3,4,3,3.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3,4,3,,4.0,2.0,4.0,4.0,4.0,4.0,,1.0,1.0,1.0,1.0,1985,Weiblich,,Ja,,,,,,,,,,,,,,,,,,Deutschland,,Bachelor,Angestellt,,> 4500 CHF,,Detailhandel,07:15,10:00,18:15,21:30,39,337,,Nein,,Nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nein,,SYS-005201,,Ja,1253,,,,,,,,,,,,,,,,,,,
V3A3ZMF8,2026-03-19 13:41:53,15,de,471506,2026-03-19 13:21:00,2026-03-19 13:41:53,,T2,Ja,24,,0 Tage,,1 Tag,27.0,6 Tage,35.0,"Ja, und ich bin seit mehr als 6 Monaten regelmässig körperlich aktiv.",3.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,4.0,5.0,,2.0,4.0,2.0,7.0,7.0,7.0,7.0,3 - stimmt ziemlich,3 - stimmt ziemlich,3 - stimmt ziemlich,2 - stimmt teils-teils,3 - stimmt ziemlich,3 - stimmt ziemlich,3 - stimmt ziemlich,2 - stimmt teils-teils,3 - stimmt ziemlich,2 - stimmt teils-teils,1 - stimmt wenig,1 - stimmt wenig,,5.0,5.0,5.0,5.0,4,3,4,3,3.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3,4,3,,4.0,2.0,4.0,4.0,4.0,4.0,,1.0,1.0,1.0,1.0,1985,Weiblich,,Ja,,,,,,,,,,,,,,,,,,Deutschland,,Bachelor,Angestellt,,> 4500 CHF,,Detailhandel,07:15,10:00,18:15,21:30,39,337,,Nein,,Nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nein,,SYS-005201,,Ja,1253,,,,,,,,,,,,,,,,,,,
AJI0Y6DP,2026-03-19 17:05:05,10,de,977574,2026-03-19 16:41:00,2026-03-19 17:05:05,,T3,Ja,24,Studien KI-App,0 Tage,,3 Tage,26.0,7 Tage,59.0,"Ja, und ich bin seit mehr als 6 Monaten regelmässig körperlich aktiv.",2.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,,3.0,5.0,4.0,7.0,7.0,7.0,7.0,3 - stimmt ziemlich,3 - stimmt ziemlich,2 - stimmt teils-teils,3 - stimmt ziemlich,4 - stimmt völlig,3 - stimmt ziemlich,3 - stimmt ziemlich,2 - stimmt teils-teils,3 - stimmt ziemlich,1 - stimmt wenig,0 - stimmt gar nicht,0 - stimmt gar nicht,,4.0,3.0,5.0,4.0,4,5,5,5,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,2,2,,4.0,5.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1985,Weiblich,,Ja,,,,,,,,,,,,,,,,,,Schweiz,,Master,Angestellt,,> 4500 CHF,,Bergbau in der Mine,06:30,07:30,17:45,22:45,36,246,,Nein,,Ja,6.0,Mehrmals pro Woche,6.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,7.0,5.0,5.0,7.0,4.0,4.0,5.0,4.0,Hilfreich,Keine negativen Punkte,Nein,,SYS-005401,,Ja,1445,,,,,,,,,,,,,,,,,,,
BHSAHXTH,2026-03-19 17:05:05,10,de,977574,2026-03-19 16:41:00,2026-03-19 17:05:05,,T3,Ja,24,Studien KI-App,0 Tage,,3 Tage,26.0,7 Tage,59.0,"Ja, und ich bin seit mehr als 6 Monaten regelmässig körperlich aktiv.",2.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,,3.0,5.0,4.0,7.0,7.0,7.0,7.0,3 - stimmt ziemlich,3 - stimmt ziemlich,2 - stimmt teils-teils,3 - stimmt ziemlich,4 - stimmt völlig,3 - stimmt ziemlich,3 - stimmt ziemlich,2 - stimmt teils-teils,3 - stimmt ziemlich,1 - stimmt wenig,0 - stimmt gar nicht,0 - stimmt gar nicht,,4.0,3.0,5.0,4.0,4,5,5,5,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,2,2,,4.0,5.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1985,Weiblich,,Ja,,,,,,,,,,,,,,,,,,Schweiz,,Master,Angestellt,,> 4500 CHF,,Bergbau in der Mine,06:30,07:30,17:45,22:45,36,246,,Nein,,Ja,6.0,Mehrmals pro Woche,6.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,7.0,5.0,5.0,7.0,4.0,4.0,5.0,4.0,Hilfreich,Keine negativen Punkte,Nein,,SYS-005401,,Ja,1445,,,,,,,,,,,,,,,,,,,
V3A3ZMF8,2026-03-19 17:05:05,10,de,977574,2026-03-19 16:41:00,2026-03-19 17:05:05,,T3,Ja,24,Studien KI-App,0 Tage,,3 Tage,26.0,7 Tage,59.0,"Ja, und ich bin seit mehr als 6 Monaten regelmässig körperlich aktiv.",2.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,,3.0,5.0,4.0,7.0,7.0,7.0,7.0,3 - stimmt ziemlich,3 - stimmt ziemlich,2 - stimmt teils-teils,3 - stimmt ziemlich,4 - stimmt völlig,3 - stimmt ziemlich,3 - stimmt ziemlich,2 - stimmt teils-teils,3 - stimmt ziemlich,1 - stimmt wenig,0 - stimmt gar nicht,0 - stimmt gar nicht,,4.0,3.0,5.0,4.0,4,5,5,5,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,2,2,,4.0,5.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1985,Weiblich,,Ja,,,,,,,,,,,,,,,,,,Schweiz,,Master,Angestellt,,> 4500 CHF,,Bergbau in der Mine,06:30,07:30,17:45,22:45,36,246,,Nein,,Ja,6.0,Mehrmals pro Woche,6.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,7.0,5.0,5.0,7.0,4.0,4.0,5.0,4.0,Hilfreich,Keine negativen Punkte,Nein,,SYS-005401,,Ja,1445,,,,,,,,,,,,,,,,,,,
MDD4V30T,2026-03-19 10:21:50,14,de,519534,2026-03-19 10:02:00,2026-03-19 10:21:50,,T1,Ja,24,,0 Tage,,0 Tage,,0 Tage,,"Nein, aber ich plane in den nächsten 6 Monaten regelmässig körperlich aktiv zu werden.",4.0,4.0,4.0,5.0,5.0,,4.0,7.0,6.0,7.0,6.0,7.0,5.0,4.0,4.0,,6.0,6.0,,5.0,4.0,5.0,5.0,2 - stimmt teils-teils,3 - stimmt ziemlich,4 - stimmt völlig,3 - stimmt ziemlich,4 - stimmt völlig,,3 - stimmt ziemlich,3 - stimmt ziemlich,4 - stimmt völlig,1 - stimmt wenig,3 - stimmt ziemlich,2 - stimmt teils-teils,,5.0,5.0,5.0,4.0,3,4,5,5,5.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1,1,1,,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1978,Männlich,,Ja,,,,,,,,,,,,,,,,,,Deutschland,,Master,Angestellt,,3000-4000 CHF,,Büro,06:45,10:15,19:30,22:45,34,81,,Nein,,Nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nein,,SYS-005002,,Ja,1190,,,,,,,,,,,,,,,,,,,
