id;pseudoID;Name;eMailIG;eMailKG;PhoneSystem;studyGroup;studyGroup_blind
1;AJI0Y6DP;Participant_0001;;cg_1@study.com;Android;2;24
1;BHSAHXTH;Participant_0201;;cg_201@study.com;Android;2;24
1;V3A3ZMF8;Participant_0401;;cg_401@study.com;iOS;2;24
2;MDD4V30T;Participant_0002;;cg_2@study.com;Android;2;24
2;9NT3W5UZ;Participant_0202;;cg_202@study.com;Android;2;24
2;BIKCIDKW;Participant_0402;;cg_402@study.com;Android;2;24
3;NNHJ7XVG;Participant_0003;;cg_3@study.com;iOS;2;24
3;0FN9XUY4;Participant_0203;;cg_203@study.com;iOS;2;24
3;1IBLJH75;Participant_0403;;cg_403@study.com;Android;2;24
4;LXO6QJIU;Participant_0004;;cg_4@study.com;iOS;2;24
4;JV6OH9SD;Participant_0204;;cg_204@study.com;iOS;2;24
4;BDW2PCN9;Participant_0404;;cg_404@study.com;Android;2;24
5;T84AZYTJ;Participant_0005;ig_5@study.com;;Android;1;91
5;XEPQ85JS;Participant_0205;ig_205@study.com;;iOS;1;91
5;G65KXVF1;Participant_0405;ig_405@study.com;;Android;1;91
6;T2TALA75;Participant_0006;;cg_6@study.com;iOS;2;24
6;3LC58DRC;Participant_0206;;cg_206@study.com;Android;2;24
6;11ERTJ5P;Participant_0406;;cg_406@study.com;iOS;2;24
7;HT0HL9XP;Participant_0007;ig_7@study.com;;iOS;1;91
7;SEIMVIHC;Participant_0207;ig_207@study.com;;iOS;1;91
7;WI64CIYH;Participant_0407;ig_407@study.com;;iOS;1;91
8;E7UR23GD;Participant_0008;ig_8@study.com;;Android;1;91
8;PPQ0Y9DO;Participant_0208;ig_208@study.com;;Android;1;91
8;M5IGQPKI;Participant_0408;ig_408@study.com;;iOS;1;91
9;7P5TB948;Participant_0009;ig_9@study.com;;iOS;1;91
9;74FRHOCN;Participant_0209;ig_209@study.com;;Android;1;91
9;9J2QP89U;Participant_0409;ig_409@study.com;;iOS;1;91
10;ZFK8UT0C;Participant_0010;;cg_10@study.com;iOS;2;24
10;VS4F8CGV;Participant_0210;;cg_210@study.com;iOS;2;24
10;YIE6IVWP;Participant_0410;;cg_410@study.com;Android;2;24
11;VS7HZIOY;Participant_0011;;cg_11@study.com;Android;2;24
11;KL1CQ99C;Participant_0211;;cg_211@study.com;iOS;2;24
11;HJ755NF4;Participant_0411;;cg_411@study.com;Android;2;24
12;ZW9XA3KX;Participant_0012;;cg_12@study.com;Android;2;24
12;7EEDTJVZ;Participant_0212;;cg_212@study.com;Android;2;24
12;HWJR64DP;Participant_0412;;cg_412@study.com;Android;2;24
13;JA1WJ0TP;Participant_0013;;cg_13@study.com;Android;2;24
13;AC56T4UF;Participant_0213;;cg_213@study.com;iOS;2;24
13;EL6246HI;Participant_0413;;cg_413@study.com;Android;2;24
14;D25OWF75;Participant_0014;ig_14@study.com;;Android;1;91
